cik,nom,symboles,secteur,sous_secteur,annee,chiffre_affaires,ca_etiquette,ca_nb_etiquettes,ca_ecart_relatif,fin_exercice,ca_depot,capex,capex_etiquette,rd,rd_etiquette
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2019,1308454000.0,Revenues,2.0,0.961871032531522,2019-12-31,0001628280-22-004274,53717000.0,PaymentsToDevelopRealEstateAssets,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2025,3377542000.0,Revenues,2.0,0.9616656136326358,2025-12-31,0001289490-26-000011,561723000.0,PaymentsToAcquireProductiveAssets,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2020,1356212000.0,Revenues,2.0,0.9615627940174545,2020-12-31,0001628280-23-005628,67300000.0,PaymentsToDevelopRealEstateAssets,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2023,2560244000.0,Revenues,2.0,0.9601655154743064,2023-12-31,0001289490-26-000011,135577000.0,PaymentsToAcquireProductiveAssets,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2016,991875000.0,Revenues,2.0,0.9598316320100819,2016-12-31,0001628280-19-001968,23279000.0,PaymentsToDevelopRealEstateAssets,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2021,1577362000.0,Revenues,2.0,0.9579906197816355,2021-12-31,0001628280-24-008044,56226000.0,PaymentsToDevelopRealEstateAssets,,
0000779152,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services,2015,1256190000.0,Revenues,2.0,0.9578861477961137,2015-06-30,0000779152-17-000040,54409000.0,PaymentsToAcquirePropertyPlantAndEquipment,71495000.0,ResearchAndDevelopmentExpense
0001051470,Crown Castle,CCI,Real Estate,Telecom Tower REITs,2024,4460000000.0,Revenues,2.0,0.95695067264574,2024-12-31,0001051470-26-000016,176000000.0,PaymentsToAcquireProductiveAssets,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2022,1924170000.0,Revenues,2.0,0.9563947052495362,2022-12-31,0001628280-25-009060,1193261000.0,PaymentsToAcquireProductiveAssets,,
0000779152,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services,2014,1173173000.0,Revenues,2.0,0.9500005540529828,2014-06-30,0000779152-16-000142,33185000.0,PaymentsToAcquirePropertyPlantAndEquipment,66748000.0,ResearchAndDevelopmentExpense
0001051470,Crown Castle,CCI,Real Estate,Telecom Tower REITs,2025,4264000000.0,Revenues,2.0,0.9495778611632271,2025-12-31,0001051470-26-000016,182000000.0,PaymentsToAcquireProductiveAssets,,
0000874766,Hartford (The),HIG,Financials,Property & Casualty Insurance,2025,28368000000.0,Revenues,2.0,0.946912013536379,2025-12-31,0000874766-26-000012,169000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000874766,Hartford (The),HIG,Financials,Property & Casualty Insurance,2024,26535000000.0,Revenues,2.0,0.9450537026568683,2024-12-31,0000874766-26-000012,145000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
