serie,titre,poids,contribution,part_du_risque,rang
P1_reeq,BRK-B,0.005927565657428072,-0.0001374870388982353,-0.0005515664328687228,130
P1_reeq,DUK,0.005957802267809688,-0.00017662009870697743,-0.000708559283823369,131
P1_reeq,AMT,0.005854992738928321,-0.0002337373113955044,-0.0009377004269483835,132
P1_reeq,CVX,0.00778742052702416,-0.0003543553607664208,-0.001421592346973972,133
P1_reeq,ACN,0.004180482486377064,-0.00043121115191664086,-0.001729920134885728,134
P1_reeq,NOW,0.005575705489160234,-0.0005157471676109802,-0.002069059220279614,135
P2_cons,SNDK,0.2147352727413489,0.22740642105933162,0.5154550653706453,1
P2_cons,NVDA,0.2121052738274813,0.050567111122693166,0.11461889883290484,2
P2_cons,LITE,0.024501819007222213,0.015888221177160093,0.03601333703483947,3
P2_cons,AVGO,0.05081738376343563,0.015185551976786496,0.03442061860180098,4
P2_cons,VRT,0.022916044326839587,0.010628045041997604,0.024090259309149955,5
P2_cons,WDC,0.016262771489243884,0.010120951046053168,0.022940845112264085,6
P2_cons,FIX,0.023166587042054702,0.010023175199223038,0.02271921963975227,7
P2_cons,TSLA,0.041833038072677145,0.00878824109538633,0.019920032896227957,8
P2_cons,GEV,0.024135591539593045,0.007866302120540798,0.017830302481699502,9
P2_cons,ANET,0.024363268298381133,0.007378249590629827,0.016724048983941264,10
P2_cons,STX,0.011838480293118465,0.00651793986752835,0.014774011678510146,11
P2_cons,MPWR,0.016840366341399737,0.006194980906775299,0.014041970641799196,12
P2_cons,COHR,0.010108052980096078,0.005842985149131212,0.01324411280022451,13
P2_cons,DELL,0.01710179121538592,0.00497982485031265,0.01128761418342958,14
P2_cons,EME,0.015389338553703828,0.004779275198162518,0.010833034521265444,15
P2_cons,LRCX,0.007929631404469124,0.004209546971122506,0.009541649259827327,16
P2_cons,SMCI,0.008910576781856572,0.003914363218562282,0.008872565424096123,17
P2_cons,APH,0.014952846323446312,0.0036986327153735073,0.008383575798800542,18
P2_cons,CEG,0.015068515500867317,0.003179100185028958,0.0072059675626590615,19
P2_cons,Q,0.007771951619602884,0.0031195867677763765,0.007071070349829894,20
P2_cons,KLAC,0.0051695590604607,0.0022532144119867085,0.005107291063349812,21
P2_cons,APP,0.008816474566809509,0.0017578567319517608,0.003984479208896297,22
P2_cons,CMI,0.006935116148022906,0.001596542730672146,0.0036188337768656422,23
P2_cons,MU,0.0022878105831867037,0.0015110131358108555,0.0034249665029998403,24
P2_cons,CAT,0.005040601436058714,0.0013702350963535315,0.003105869297242868,25
P2_cons,HWM,0.010956976309551175,0.0013457978666498794,0.0030504781883388364,26
P2_cons,KEYS,0.0048162600332843,0.0012387824973169282,0.0028079097773932716,27
P2_cons,AMD,0.0025724427893372734,0.0011692848796613434,0.0026503816878833577,28
P2_cons,ETN,0.004036894536678607,0.0010756578849629515,0.002438160289525722,29
P2_cons,GNRC,0.003529720884683704,0.0009694472693756194,0.002197415988878464,30
P2_cons,AME,0.008389696170104554,0.0009161225224448412,0.0020765464426843127,31
P2_cons,STLD,0.007718599386967715,0.0008908079617183754,0.0020191667148239233,32
P2_cons,MRVL,0.0019394239322941779,0.0008416974791891615,0.0019078495107425345,33
P2_cons,NXPI,0.0036922202848189757,0.000832636149937437,0.0018873104774116596,34
P2_cons,PWR,0.0028204039720029026,0.0008288657729426842,0.0018787642810850604,35
P2_cons,AMAT,0.0016319837726887886,0.0007400725415112016,0.0016774994236602812,36
P2_cons,HPE,0.003214812981753395,0.0007267971132545632,0.0016474084231160903,37
P2_cons,GOOGL,0.0069595779904640005,0.0006786648234514093,0.0015383084580783816,38
P2_cons,GOOG,0.006934946114642,0.0006581432840542017,0.0014917929226672946,39
P2_cons,LII,0.005246737136298024,0.0006372050958122707,0.0014443329822719812,40
P2_cons,TDY,0.005438278961537886,0.0006305930058315741,0.0014293455634587396,41
P2_cons,CARR,0.0040053918475561,0.0005818512836408185,0.0013188642169731067,42
P2_cons,HUBB,0.002750381816916487,0.000527069534439073,0.001194692129024294,43
P2_cons,ARES,0.005016145530018049,0.0005178713948930479,0.001173842992052266,44
P2_cons,TT,0.003369945116080682,0.000464906814163253,0.0010537898233896172,45
P2_cons,AMZN,0.004829828210964771,0.00042551489679837514,0.0009645013888511284,46
P2_cons,NRG,0.0016401207968959727,0.0003889480134591946,0.0008816163711185801,47
P2_cons,META,0.0039551480057409775,0.000341218925709897,0.0007734303316422514,48
P2_cons,PH,0.0036364762711229995,0.0003365888562693415,0.0007629354971734855,49
P2_cons,IRM,0.0024556898680569723,0.000329790130584893,0.0007475250370123797,50
P2_cons,DLR,0.003863106062054235,0.0003287014816674548,0.0007450574303533866,51
P2_cons,JCI,0.002166448804426885,0.00032582512344513103,0.0007385376785864369,52
P2_cons,JBL,0.0009506638257955041,0.0003093822194467388,0.0007012670592437967,53
P2_cons,MCHP,0.0011170948991906298,0.00030179304842869206,0.0006840649212171151,54
P2_cons,TER,0.0005194466513509391,0.0002892755313078969,0.0006556918542838194,55
P2_cons,TEL,0.001632279850707853,0.00027256420033424967,0.0006178127998607942,56
P2_cons,NUE,0.003051054700983677,0.00025353864189466664,0.0005746881579817082,57
