fichier,test,date,detail
COHR.csv,prix fige,1991-10-30,0.2031
COHR.csv,prix fige,1991-11-04,0.2344
COHR.csv,prix fige,1991-11-26,0.1719
COHR.csv,prix fige,1991-11-29,0.2031
COHR.csv,prix fige,1991-12-04,0.1797
COHR.csv,prix fige,1991-12-06,0.1797
COHR.csv,prix fige,1991-12-11,0.1719
COHR.csv,prix fige,1991-12-13,0.1562
COHR.csv,prix fige,1991-12-26,0.1641
COHR.csv,prix fige,1992-01-02,0.1875
COHR.csv,prix fige,1992-01-03,0.1875
COHR.csv,prix fige,1992-01-07,0.1641
COHR.csv,prix fige,1992-01-08,0.1641
COHR.csv,prix fige,1992-01-13,0.1875
COHR.csv,prix fige,1992-01-17,0.1797
COHR.csv,prix fige,1992-01-21,0.1953
COHR.csv,prix fige,1992-02-03,0.2578
COHR.csv,prix fige,1992-02-04,0.2578
COHR.csv,prix fige,1992-02-26,0.2500
COHR.csv,prix fige,1992-03-04,0.2422
COHR.csv,prix fige,1992-03-05,0.2422
COHR.csv,prix fige,1992-03-09,0.2344
COHR.csv,prix fige,1992-03-10,0.2344
COHR.csv,prix fige,1992-03-12,0.2344
COHR.csv,prix fige,1992-03-13,0.2344
COHR.csv,prix fige,1992-03-24,0.2188
COHR.csv,prix fige,1992-03-25,0.2188
COHR.csv,prix fige,1992-03-26,0.2188
COHR.csv,prix fige,1992-04-02,0.2188
COHR.csv,prix fige,1992-04-09,0.2109
COHR.csv,prix fige,1992-04-10,0.2109
COHR.csv,prix fige,1992-04-15,0.1875
COHR.csv,prix fige,1992-04-16,0.1875
COHR.csv,prix fige,1992-04-20,0.1875
COHR.csv,prix fige,1992-04-21,0.1875
COHR.csv,prix fige,1992-04-30,0.2031
COHR.csv,prix fige,1992-05-11,0.1953
COHR.csv,prix fige,1992-05-15,0.1797
COHR.csv,prix fige,1992-05-19,0.1562
COHR.csv,prix fige,1992-05-22,0.1758
